"","Souche","X1","X2","X3","X4","X6","X7","X14","X16","X19","X21","X24","X25","X26","X27","X29","X30","X31","X32","X34","X35","X38","X41","X43","X51","X52","X53","X54","X55","X56","X58","X61","X62","X63","X68","X70","X72","X73","X74","X77","X78","X79","X81","X82","X83","X84","X85","X86","X87","X89","X90","X102","X108","X110","X118","X122","X123","X127","X128","X137","X143","X164","X169","X170","X171","X172","X173"
"110","Mpn",0,0,0,0,0,0,0,0,0,0,508,1031,1128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2919,0,0,0,0,0,0,0,0,0,3963.5,0,0,0,0,0,0,0,0,0,0,733,0,0,0
"111","Nm",0,0,0,0,44502,0,0,0,0,0,0,0,0,1001,613.5,0,0,0,0,6114.5,0,0,0,0,196,0,220,0,0,0,0,0,0,0,0,0,294.5,0,0,0,0,13905.5,0,0,0,1147.5,303,0,0,0,0,21496.5,0,0,0,0,10058,0,0,0,1993,0,0,0,0,0
"112","Nm",0,0,0,0,3066,0,0,0,0,0,0,0,0,566,399,0,0,0,0,219,0,0,0,0,482,0,489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1611.5,0,0,0,0,0,0,0,0,0,1720.5,0,0,0,0,1564,0,0,0,304.5,0,0,0,0,0
"113","Nm",0,0,0,0,14412,0,0,0,0,0,0,0,0,565.5,310,0,0,0,0,1272,0,0,0,0,290,0,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5534,0,0,0,280,0,0,0,0,0,5125.5,0,0,0,0,3509,0,0,0,681.5,0,0,0,0,0
"114","Nm",0,0,0,0,43805,0,0,0,0,0,0,0,0,1222.5,706,0,0,0,0,7000,0,0,0,0,391.5,0,473,0,0,0,1,0,113,0,0,0,468,0,0,0,0,15495,0,0,0,1507.5,203.5,0,0,0,0,13644.5,0,0,0,0,10196.5,0,0,0,1522,0,0,0,0,0
"115","Nm",0,0,0,0,65235,0,0,0,0,0,0,0,0,3973,2185,0,0,0,0,22983,0,0,0,286,823,0,795,262,0,0,1730,0,227.5,0,109,0,1797,0,0,0,0,42456,0,0,0,7603.5,1196,0,202,0,0,11340,0,0,355.5,0,30050.5,0,39.5,0,6810,0,0,0,0,0
"116","Nm",0,0,0,0,65235,6,0,0,0,0,0,0,0,2300,989,0,0,0,101,12969.5,0,0,0,0,389,0,288,182,0,0,1054,0,1.5,0,0,0,620,0,0,0,0,19451,0,0,0,3785,574,0,176,0,0,26904,0,0,175,0,13703.5,0,0,0,2996.5,0,0,0,0,0
"117","Nm",0,0,0,0,52739,16,0,0,0,0,0,0,0,1627,1371,0,0,0,94,7646.5,0,0,0,0,619,0,480,265.5,0,0,668.5,0,73,0,0,0,501,0,0,0,0,10405,0,0,0,1504,290,0,0,0,0,12080,0,0,78,0,6586,0,0,0,3423.5,0,0,0,0,0
"118","Nm",0,0,0,0,30964,0,0,0,0,0,0,0,0,1801.5,1100.5,0,0,0,0,5083,0,0,0,0,561.5,0,520,216,0,0,773,0,0,0,0,0,274,0,0,0,0,9138,0,0,0,1670.5,84.5,0,0,0,0,12021,0,0,59.5,0,6279,0,0,0,2370.5,0,0,0,0,0
"119","Nm",0,0,0,0,60652.5,0,4,0,0,0,0,0,0,2511,1561,0,0,0,0,7846.5,0,0,0,1,793.5,0,635,389,0,0,1018,0,102,0,0,0,487,0,0,0,0,14524.5,0,0,0,2397,202,0,0,0,0,2707,0,0,76,0,9421,0,0,0,4508,0,0,0,0,0
