label1_kpn;label2_Pa;label3_Mca;label4_Hi;label5_Sau;label6 _Spn;Souche;4;6;7;16;19;21;24;25;26;27;29;32;35;38;56;58;62;63;68;72;77;83;118;123;128;137;141;143;164;169;170;171;173;213;218;220;223;225;226;230;232;234;236;
FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;Pa_10^6;1,05;61,72;4,5;0,4;1,13;0,04;0,19;0,28;0,17;0,32;0,29;2,4;44,38;150,99;1,79;1,35;1,34;104,31;3,86;0,46;5,42;1,74;0,76;6,31;8,25;75,16;15,98;149,82;0,02;8,24;101,67;0,28;0,63;0,63;0,13;2,51;0,56;2,65;0,23;16,89;0;0;0;
FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;Pa_10^5;1,01;8,98;6,21;0;2,26;0,06;0;0;0,02;0;0;0,58;6,15;103,72;4,09;1,94;2,69;71,44;4,17;0,82;4,01;2,69;0,37;1,6;1,82;54,23;8,81;94,19;0;3,31;61,54;0,03;0;3,32;0,22;0,56;2,44;1,47;0,67;1,5;0;0;0;
FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;Pa_10^4;0,3;5,33;4,64;0,56;1,27;0,25;0,04;0,16;0,03;0,68;0;0,11;1,3;65,31;0,67;0,36;0,15;38,51;0,29;0;0,25;0,2;0,22;0,74;0,29;28,89;3,13;55,05;2,23;1,02;39,31;0,86;0,7;0,41;0;0,49;0,13;0;0,28;0,58;0;0;0;
FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;Pa_10^3;1,06;18,89;3,98;0,56;2,8;0,08;0,08;0,41;0,12;7,46;0,96;9,87;6,11;18,96;6,92;1,23;3,9;23,18;3,85;1,54;4,66;5,42;0,16;0,95;7,25;8,9;0,52;18,37;12,96;22,02;22,4;0,58;0,47;2,47;0,59;4,18;5,79;6,52;20,82;0,91;0;0;0;
FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;Pa_10^2;1;2,7;6,24;23,25;1,84;0,3;0,1;0,19;0,08;0;0,18;1,51;1,62;7,25;3,27;0,79;2,45;8,19;1,36;0,36;1,31;1,2;0,18;0,54;3,41;2,88;0;7,54;0;7,88;20,19;26,05;29,66;7,53;1,51;7,11;4,45;4,6;1,39;0,74;0;0;0;
FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;Mca_10^8;0,9;79,88;7,41;2,34;2,34;93,94;0;1,21;0;0;0;0;48,99;4,43;22,2;4,38;0,28;3,06;0,16;0;30,13;5,07;23,57;118,54;163,24;68,87;0;4,87;0;8,98;6,58;3,36;0,97;0;0;0,68;0;0;0;6,8;0;0;0;
FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;Mca_10^7;0,51;49,26;5,06;0,76;0,65;79,97;0;0,72;0,03;0,04;0;0,44;31,17;2,33;14,88;1,37;0,64;1,12;0,16;0,04;17,16;2,58;34,18;83,62;138,05;50;0;3,02;0;6,85;6,06;0,79;1,16;0;0;0,55;0;0,09;0,14;4,3;0;0;0;
FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;Mca_10^6;0,54;31,42;5,35;0,74;1,31;85,78;0,06;0,61;0,02;0,25;0;0,13;18,56;1,55;6,26;2,49;0,51;1,32;0,69;0,24;12,22;2,42;37,21;55,92;125,77;37,33;0,18;3,37;0;4,32;4,59;0,74;0,43;0,3;0;0,6;0,2;0;0;1,05;0;0;0;
FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;Mca_10^5;1,24;7,61;7,5;0,82;3,65;65,64;0,08;0,3;0,02;0,22;0,01;0,12;3,92;1,24;4,58;2,27;5,06;4;6,56;2,62;7,26;5,44;53,26;29,22;78,74;26,02;0,03;3,36;0;9,55;3,09;0,57;0,7;0,31;0;0,48;0,23;0;0;0,23;0;0;0;
FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;Mca_10^4;3,16;1,57;5,04;0,21;7,22;59,36;0;0;0;0;0;0;0,46;9,64;5,22;2,58;6,11;9,12;7,82;1,44;8,44;3,72;58,73;33,62;56,14;9,69;0;4,33;0;0;7,13;0,32;0,29;0;0;0,92;0;0;0;0;0;0;0;
FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;Mca_10^3;0,34;2,83;3,27;0,09;0,68;19,03;0,15;0,12;0,08;0,01;0,06;0,24;1,47;4,33;1,15;0,59;0,47;3,24;0,8;0,28;0,94;0,82;13,54;5,46;15,37;1,18;0,08;3,97;0;3,95;3,93;0,1;0,11;0;0;0,64;0;0,06;0,01;0,12;0,06;0,62;0;
FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;Hi_10^8;0,2;0;7,49;0;0;0;0;0;0;0;0;0;0;0,92;0;0;0;0,41;0;0;0;0;0;0;0;0;0;0,34;0;0;2,99;0;0;0;0;2,96;0;0;0;0;0;0;0;
