"","Souche","X1","X2","X3","X4","X6","X7","X14","X16","X19","X21","X24","X25","X26","X27","X29","X30","X31","X32","X34","X35","X38","X41","X43","X51","X52","X53","X54","X55","X56","X58","X61","X62","X63","X68","X70","X72","X73","X74","X77","X78","X79","X81","X82","X83","X84","X85","X86","X87","X89","X90","X102","X108","X110","X118","X122","X123","X127","X128","X137","X143","X164","X169","X170","X171","X172","X173"
"192","Lpn",0,0,0,0,146,0,0,0,346,0,0,0,0,0,0,0,57,1266,0,194,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,1874,6,0,0,438,5719,9352,0,0,1128,306,0,976,21274,0,19476,0,0,0,0,8904,0,0,0,0,20892,2952,0,0,0
"193","Kpn",0,0,2408,1183,739,0,0,0,151,0,0,0,0,0,0,0,4,0,123,440,1730,0,0,206,342,0,522,0,108,98,614,1077,2277,2588,3940,2066,3919,874,3048,11844,8772,11412,12490,8620,7924,3414,26558,10722,26722,16926,0,13177,631,0,617,2698,8174,0,198,1064,0,0,1596,0,0,0
"194","Bp",0,0,0,0,13568,733,0,3,0,0,0,0,0,0,0,0,0,403,11496,4892,0,0,0,0,46,0,0,0,0,0,0,0,2,0,0,0,3598,0,0,0,534,27912,2264,96,3910,1100,1278,0,0,2461,0,37372,0,0,166,0,6277,0,0,0,0,2088,132,0,0,1
"195","Xneg",0,0,854,155,0,0,99,0,0,565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,584,0,0,0,180,452,626,1098,770,838,1319,639,1110,1308,6305,6579,6392,3583,1947,158,13643,2660,7518,6962,0,2176,0,184,244,342,5130,0,0,0,0,0,0,0,0,0
"196","Mca",0,0,0,0,12563,250,0,0,0,200,0,0,0,0,0,0,0,0,10875,4950,0,0,0,0,185,0,247,0,0,0,143,0,0,0,4,0,4308,464,0,0,0,13934,0,0,590,938,16828,0,1,11185,0,17822,0,431,529,1254,6816,1858,0,0,0,0,0,0,0,0
"197","Nm",0,0,0,0,28114,42,48,0,0,0,0,0,0,1486,903,0,0,1462,786,4438,0,0,0,0,684,0,458,229,0,0,645,492,106,0,57,0,1612,810,0,7984,243,22502,1068,0,972,2483,20667,0,66,10569,0,20982,0,8,114,0,12971,0,0,0,2472,396,0,0,0,0
"198","Xneg",0,0,0,0,0,3,54,401,0,0,0,0,0,0,0,0,0,3298,0,0,0,1,0,149,240,0,0,0,0,0,0,0,200,0,0,0,3651,50,0,0,302,17273,2108,48,1326,1143,598,0,47,1402,0,7904,97,0,679,0,2064,0,0,0,0,0,0,470,402,503
"199","Spn",2,0,6,0,13143,41,53,0,0,3,0,0,0,848,520,0,144,3680,57,2292,0,0,0,56,444,0,264,146,0,0,394,92,54,0,51,0,4656,0,0,2,2,18912,0,0,0,1681,288,0,47,8,0,9924,61,0,99,0,2832,0,51,0,1134,0,0,0,0,0
"200","Hi",0,0,92,0,42,0,0,1830,0,338,0,0,0,0,0,0,0,142,0,56,0,934,0,256,540,0,256,204,0,0,388,1225,0,0,1371,0,11680,2098,0,18074,19836,34273,27236,619,16952,4770,43578,405,762,40186,0,31078,0,90,2381,702,24404,2280,0,0,0,0,0,2255,2186,2378
"201","Ssp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,501,0,0,0,0,0,0,0,0,0,0,0,4143,0,0,0,0,11830,0,0,0,186.5,0,0,0,199.5,3835.5,16893,36030,0,0,294,3324,0,0,0,0,0,1754.5,0,0,0
"202","Ssp",0,0,1244,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,482.5,0,0,1789.5,0,0,0,0,0,0,0,5,140.5,0,0,1516.5,479.5,1743.5,5335,381.5,0,203.5,2348,23000,9141,957,490.5,2288,8135,1348,7744,8180,2599,34713.5,32531,0,137.5,3614.5,13626.5,0,0,0,0,2259,1567.5,0,0,0
"203","Ssp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,1765,0,0,318.5,0,0,0,0,0,0,0,0,0,0,0,3716,0,0,0,0,15117.5,0,0,0,302.5,0,0,0,104.5,2477,21700,26884,0,0,281,5496,0,0,0,0,0,860.5,0,0,0
"204","Ssp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3412,0,0,104,0,0,0,0,0,0,0,0,0,0,0,6477.5,0,0,0,0,24787,0,0,0,893.5,0,0,0,303.5,4600,30232,62859,0,0,205,6715,0,0,0,0,4001,1390.5,0,0,0
"205","Ssp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993.5,0,0,424.5,0,0,0,0,0,0,0,0,0,0,0,2315.5,0,0,0,0,13231,0,0,0,296,1297,0,0,990,3521.5,26585.5,18617,0,0,393.5,8609,201,0,0,0,917.5,916.5,0,0,0
"206","Ssp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2642,0,0,288,0,0,0,0,0,0,0,0,0,0,0,2881,0,0,0,0,14989.5,0,0,0,395,316,0,0,385,4215,21941,31050,0,0,300.5,5358,0,0,0,0,0,0,0,0,0
"207","Ssp",0,0,0,0,1016,0,0,0,0,0,0,0,0,0,0,0,0,199,104,0,0,395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2423,0,0,0,0,16337,492,0,646,606,0,0,0,276.5,703,21864,10312,0,0,0,1648.5,0,0,0,0,3,213,0,0,0
"208","Ssp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,494,0,90,0,0,0,0,0,0,0,0,0,538.5,0,0,0,0,1993.5,0,0,0,0,0,0,0,0,87.5,3247,391.5,0,0,0,645,0,0,0,0,0,387.5,0,0,0
"209","Ssp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1671,0,0,387,0,0,0,0,0,0,0,0,0,0,0,3406,0,0,0,0,12644.5,0,0,0,413.5,0,0,0,95,3002,30008,42719,0,0,198,4909.5,0,0,0,0,0,1348.5,0,0,0
"210","Ssp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2299,0,0,288,0,0,0,0,0,0,0,0,0,0,0,3138.5,0,0,0,0,10675.5,0,0,0,192,0,0,0,168.5,3246,16288.5,28521.5,0,0,189,2475.5,0,0,0,0,0,897,0,0,0
"211","Ssp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1087,0,0,400.5,0,101,0,0,0,0,0,0,0,0,0,1696,0,0,0,0,11707,0,0,0,521,0,0,0,0,1380,16549,12091.5,0,0,187,1714,0,0,0,0,0,1005,0,0,0
"212","Ssp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,909,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,4850,0,0,0,0,23048,201,0,986.5,693.5,361,0,0,588,1234.5,38598.5,29891,0,0,199,7708,0,0,0,0,4465,746,0,0,0
"213","Ssp",0,0,1933,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1774.5,0,96,411.5,0,189.5,0,103.5,21,403,1019,1600.5,1902,2235,387,5301,725,0,145,9079,16292,14714.5,8748,8092,2340,762,1927.5,2442,11889,1834.5,16099,21058.5,0,220,1345,7859,0,0,0,0,0,1140,0,0,0
"214","Ssp",0,0,1132,0,1031.5,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,296,0,0,102.5,0,0,0,544.5,188,0,789.5,3193.5,1476,413,127.5,6965,425,0,141,10285.5,22786.5,16997.5,6170,11744.5,2106,6006,7919.5,16476,12819,292,30215.5,6258.5,0,658,286,7979.5,0,0,0,0,905,288,0,0,0
"215","Ssp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,931.5,17.5,0,0,1623,0,0,261,0,0,0,0,0,0,0,0,0,0,0,4805,0,0,0,0,17574,0,0,0,310,0,0,0,0,2265,24298,24937,0,0,92,4635,0,0,0,0,3282,905,0,0,0
"216","Spn",0,0,0,0,17363,0,199.5,112,0,0,0,0,0,183,0,0,2,4580.5,100,1624,0,209.5,0,0,784.5,0,0,0,0,0,0,917,1672,0,607,0,8722,926.5,0,3555.5,5253.5,44514.5,11428,0,5518,3997.5,4874,0,10,5351,0,55227,0,0,1433,0,20505,0,0,0,489,6339,395,201,119,230.5
"217","Spn",0,0,0,0,13179.5,0,12.5,4.5,0,0,0,0,0,62,0,0,0,3444.5,3.5,1117,0,0,0,0,399,0,0,0,0,0,0,533,1224,0,378.5,0,6633,561,0,2759,3755,41574,9003,0,4131,2819,3689,0,0,4174,0,53447,0,0,1032.5,0,16485.5,0,0,0,302,4545,301.5,96.5,0,205
"218","Spn",0,0,0,0,13506,0,1,0,0,0,0,0,0,102.5,0,0,104,6800,2.5,1608.5,0,77.5,0,0,879,6,0,0,0,0,0,869,1498,0,102,0,10218,0,0,1023,1365.5,48215,3295,0,9545,3954,1917,0,0,2139,0,65235,0,0,500,0,21983,0,0,0,421,8395,703.5,0,0,0
"219","Spn",0,0,0,0,11852,0,0,0,0,0,0,0,0,0,0,0,5,5591,0,1098,0,0,0,0,686,0,0,0,0,0,0,589.5,1096.5,0,4,0,8672,0,0,719.5,996.5,50913,2245,0,7029,2676,1217,0,0,1724.5,0,65235,0,0,248,0,21236,0,0,0,198.5,6644,401,0,0,0
"220","Spn",0,0,0,0,210,0,97,0,0,0,0,0,0,0,0,0,69.5,14270.5,0,0,0,1,0,0,193.5,0,0,0,0,0,0,387.5,0,0,0,0,11132.5,526.5,0,0,0,45321,0,0,0,2625,3298,70.5,0,5,0,11447,199,0,102,0,9940,0,0,0,0,0,98.5,0,0,0
"221","Spn",0,0,0,0,0,0,8.5,0,0,0,0,0,0,0,0,0,406.5,13910.5,0,0,0,114,0,0,599,0,0,0,0,0,0,390.5,0,0,0,0,11768.5,303,0,0,0,43307,0,0,0,2526,2094,0,0,0,167,55292.5,638,0,195,0,11234.5,0,0,0,0,0,3,0,0,0
"222","Spn",0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,95,13763,0,0,0,13,0,0,207,0,0,0,0,0,0,296,0,0,0,0,11409,193,0,0,0,33889.5,0,0,0,1502.5,3301,85,0,0,100,34645,309,0,73.5,0,6479.5,0,0,0,0,0,0,0,0,0
