Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","5142","Nourriture","2531","Pommes de Terre","2017","2017","Milliers de tonnes","228","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","5521","Aliments pour animaux","2536","Sucre, canne","2017","2017","Milliers de tonnes","9","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","5123","Pertes","2536","Sucre, canne","2017","2017","Milliers de tonnes","2","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","5142","Nourriture","2536","Sucre, canne","2017","2017","Milliers de tonnes","0","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","5521","Aliments pour animaux","2537","Sucre, betterave","2017","2017","Milliers de tonnes","1","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","5123","Pertes","2537","Sucre, betterave","2017","2017","Milliers de tonnes","0","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","5142","Nourriture","2542","Sucre Eq Brut","2017","2017","Milliers de tonnes","331","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","5142","Nourriture","2543","Edulcorants Autres","2017","2017","Milliers de tonnes","17","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","5123","Pertes","2745","Miel","2017","2017","Milliers de tonnes","0","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","5142","Nourriture","2745","Miel","2017","2017","Milliers de tonnes","1","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","5521","Aliments pour animaux","2547","Pois","2017","2017","Milliers de tonnes","17","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","5521","Aliments pour animaux","2549","Légumineuses Autres","2017","2017","Milliers de tonnes","7","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","5123","Pertes","2549","Légumineuses Autres","2017","2017","Milliers de tonnes","2","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","5142","Nourriture","2549","Légumineuses Autres","2017","2017","Milliers de tonnes","77","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","5123","Pertes","2551","Noix","2017","2017","Milliers de tonnes","2","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","5142","Nourriture","2551","Noix","2017","2017","Milliers de tonnes","20","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","5142","Nourriture","2555","Soja","2017","2017","Milliers de tonnes","0","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","5521","Aliments pour animaux","2556","Arachides Decortiquees","2017","2017","Milliers de tonnes","1","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","5142","Nourriture","2556","Arachides Decortiquees","2017","2017","Milliers de tonnes","1","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","5123","Pertes","2557","Graines de tournesol","2017","2017","Milliers de tonnes","0","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","5521","Aliments pour animaux","2558","Graines Colza/Moutarde","2017","2017","Milliers de tonnes","1","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","5521","Aliments pour animaux","2560","Coco (Incl Coprah)","2017","2017","Milliers de tonnes","1","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","5142","Nourriture","2560","Coco (Incl Coprah)","2017","2017","Milliers de tonnes","0","S","Données standardisées"
