Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","2","Afghanistan","5611","Importations - Quantité","2601","Tomates","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","2","Afghanistan","5611","Importations - Quantité","2605","Légumes, Autres","2013","2013","Milliers de tonnes","124","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","2","Afghanistan","5611","Importations - Quantité","2611","Oranges, Mandarines","2013","2013","Milliers de tonnes","139","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","2","Afghanistan","5611","Importations - Quantité","2614","Agrumes, Autres","2013","2013","Milliers de tonnes","40","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","2","Afghanistan","5611","Importations - Quantité","2615","Bananes","2013","2013","Milliers de tonnes","82","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","2","Afghanistan","5611","Importations - Quantité","2617","Pommes","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","2","Afghanistan","5611","Importations - Quantité","2618","Ananas","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","2","Afghanistan","5611","Importations - Quantité","2619","Dattes","2013","2013","Milliers de tonnes","1","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","2","Afghanistan","5611","Importations - Quantité","2625","Fruits, Autres","2013","2013","Milliers de tonnes","4","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","2","Afghanistan","5611","Importations - Quantité","2630","Café","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","2","Afghanistan","5611","Importations - Quantité","2633","Feve de Cacao","2013","2013","Milliers de tonnes","1","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","2","Afghanistan","5611","Importations - Quantité","2635","Thé","2013","2013","Milliers de tonnes","107","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","2","Afghanistan","5611","Importations - Quantité","2640","Poivre","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","2","Afghanistan","5611","Importations - Quantité","2645","Épices, Autres","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","2","Afghanistan","5611","Importations - Quantité","2655","Vin","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","2","Afghanistan","5611","Importations - Quantité","2656","Bière","2013","2013","Milliers de tonnes","3","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","2","Afghanistan","5611","Importations - Quantité","2658","Boissons Alcooliques","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","2","Afghanistan","5611","Importations - Quantité","2731","Viande de Bovins","2013","2013","Milliers de tonnes","6","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","2","Afghanistan","5611","Importations - Quantité","2734","Viande de Volailles","2013","2013","Milliers de tonnes","48","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","2","Afghanistan","5611","Importations - Quantité","2735","Viande, Autre","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","2","Afghanistan","5611","Importations - Quantité","2740","Beurre, Ghee","2013","2013","Milliers de tonnes","0","S","Données standardisées"
